source_id,name,prefecture,category,lat,lng,image_url
Q11357775,三重県綜合博物館,三重縣,公共檔案館,34.7421530,136.5016730,http://commons.wikimedia.org/wiki/Special:FilePath/Miemu.in.2014.03.09.jpg
Q109339483,刀剣ワールド桑名・多度,三重縣,美術館,35.1272222,136.5936111,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%88%80%E5%89%A3%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E6%A1%91%E5%90%8D%E3%83%BB%E5%A4%9A%E5%BA%A6.jpg
Q11568938,熊野石蔵美術館,三重縣,美術館,33.9848060,136.0411940,
Q11641448,道の駅紀宝町ウミガメ公園,三重縣,水族館,33.7697778,136.0285000,http://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki24003%20Kiho%20town.jpg
Q92451961,愛洲の館,三重縣,地方文化館,34.3554167,136.7021111,http://commons.wikimedia.org/wiki/Special:FilePath/Gokasyo%20Aisu-no-Yakata%20ac.jpg
Q11378931,伊勢－安土桃山文化村,三重縣,主題公園,34.4983140,136.7777030,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E3%81%AE%E5%AE%89%E5%9C%9F%E5%9F%8E%20ADUCHI%20CASTLE%20%2C%20ISE%20-%20panoramio.jpg
Q601002,ピレネー,三重縣,スチール・ローラー・コースター,34.3598320,136.8450000,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Villa%20Espa%C3%B1ola%20de%20Shima%2C%20Parque%20Espa%C3%B1a%20-%20La%20monta%C3%B1a%20rusa%20%22Los%20Pirineos%22.jpg
Q11490924,志摩市歴史民俗資料館,三重縣,民俗博物館,34.3755000,136.7969720,http://commons.wikimedia.org/wiki/Special:FilePath/Shima%20City%20Hall%20Isobe%20Branch.jpg
Q11518541,木曽岬町立文化資料館,三重縣,博物館,35.0754750,136.7306390,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%A8%E6%9B%BD%E5%B2%AC%E7%94%BA%E7%AB%8B%E6%96%87%E5%8C%96%E8%B3%87%E6%96%99%E9%A4%A8.jpg
Q137774894,朝日町歴史博物館,三重縣,歷史博物館,35.0366220,136.6591050,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%9D%E6%97%A5%E7%94%BA%E6%AD%B4%E5%8F%B2%E5%8D%9A%E7%89%A9%E9%A4%A8.jpg
Q11490912,志摩海洋世界水族館,三重縣,水族館,34.3108610,136.8194170,http://commons.wikimedia.org/wiki/Special:FilePath/Shima%20Marine%20Land%2C%20Renewed%20in%202016.jpg
Q97371578,大黒屋光太夫記念館,三重縣,人物紀念館,34.8596235,136.6145457,http://commons.wikimedia.org/wiki/Special:FilePath/Q97371578.jpg
